,,,,,,,,,,
Type(number),Type (file name),Date,Authors (full name),Authors (initials),Title,Reference (text),Link (text),Link (http),2nd Link (text),2nd Link (http)
,,,,,,,,,,
,,,,,,,,,,
1,redshift,2019-02-22,"S. Birrer, T. Treu, C. E. Rusu, V. Bonvin, C. D. Fassnacht, J. H. H. Chan, A. Agnello, A. J. Shajib, G. C.-F. Chen, M. Auger, F. Courbin, S. Hilbert, D. Sluse, S. H. Suyu, K. C. Wong, P. Marshall, B. C. Lemaux, G. Meylan","S. Birrer, T. Treu, C.E. Rusu, V. Bonvin, C.D. Fassnacht, J.H.H. Chan, A. Agnello, A.J. Shajib, G.C.-F. Chen, M. Auger, F. Courbin, S. Hilbert, D. Sluse, S.H. Suyu, K.C. Wong, P. Marshall, B.C. Lemaux, G. Meylan",H0LiCOW - IX. Cosmographic analysis of the doubly imaged quasar SDSS 1206+4332 and a new measurement of the Hubble constant,"Monthly Notices of the Royal Astronomical Society, Volume 484, Issue 4, 21 April 2019",doi: 10.1093/mnras/stz200,https://doi.org/10.1093/mnras/stz200,arXiv:1809.01274,https://arxiv.org/abs/1809.01274
3,nucleosynthesis,2019-02-10,"J-PARC E15 collaboration, S. Ajimura, H. Asano, G. Beer, C. Berucci, H. Bhang, M. Bragadireanu, P. Buehler, L. Busso, M. Cargnelli, S. Choi, C. Curceanu, S. Enomoto, H. Fujioka, Y. Fujiwara, T. Fukuda, C. Guaraldo, T. Hashimoto, R. S. Hayano, T. Hiraiwa, M. Iio, M. Iliescu, K. Inoue, Y. Ishiguro, T. Ishikawa, S. Ishimoto, K. Itahashi, M. Iwasaki, K. Kanno, K. Kato, Y. Kato, S. Kawasaki, P. Kienle, H. Kou, Y. Ma, J. Marton, Y. Matsuda, Y. Mizoi, O. Morra, T. Nagae, H. Noumi, H. Ohnishi, S. Okada, H. Outa, K. Piscicchia, Y. Sada, A. Sakaguchi, F. Sakuma, M. Sato, A. Scordo, M. Sekimoto, H. Shi, K. Shirotori, D. Sirghi, F. Sirghi, K. Suzuki, S. Suzuki, T. Suzuki, K. Tanida, H. Tatsuno, M. Tokuda, D. Tomono, A. Toyoda, K. Tsukada, O. Vazquez Doce, E. Widmann, T. Yamaga, T. Yamazaki, Q. Zhang, J. Zmeskal","J-PARC E15 collaboration, S. Ajimura, H. Asano, G. Beer, C. Berucci, H. Bhang, M. Bragadireanu, P. Buehler, L. Busso, M. Cargnelli, S. Choi, C. Curceanu, S. Enomoto, H. Fujioka, Y. Fujiwara, T. Fukuda, C. Guaraldo, T. Hashimoto, R.S. Hayano, T. Hiraiwa, M. Iio, M. Iliescu, K. Inoue, Y. Ishiguro, T. Ishikawa, S. Ishimoto, K. Itahashi, M. Iwasaki, K. Kanno, K. Kato, Y. Kato, S. Kawasaki, P. Kienle, H. Kou, Y. Ma, J. Marton, Y. Matsuda, Y. Mizoi, O. Morra, T. Nagae, H. Noumi, H. Ohnishi, S. Okada, H. Outa, K. Piscicchia, Y. Sada, A. Sakaguchi, F. Sakuma, M. Sato, A. Scordo, M. Sekimoto, H. Shi, K. Shirotori, D. Sirghi, F. Sirghi, K. Suzuki, S. Suzuki, T. Suzuki, K. Tanida, H. Tatsuno, M. Tokuda, D. Tomono, A. Toyoda, K. Tsukada, O. Vazquez Doce, E. Widmann, T. Yamaga, T. Yamazaki, Q. Zhang, J. Zmeskal","“K- pp'', a K-Meson Nuclear Bound State, Observed in 3He(K-,Lambda p)n Reactions","Physics Letters B789, p. 620, 10 February 2019",doi: 10.1016/j.physletb.2018.12.058,https://doi.org/10.1016/j.physletb.2018.12.058,arXiv:1805.12275,https://arxiv.org/abs/1805.12275
4,galaxy and structure formation,2019-02-04,"Xiaodian Chen, Shu Wang, Licai Deng, Richard de Grijs, Chao Liu, Hao Tian","X. Chen, S. Wang, L. Deng, R. de Grijs, C. Liu, H. Tian",An intuitive 3D map of the Galactic warp's precession traced by classical Cepheids,Nature Astronomy,doi: 10.1038/s41550-018-0686-7,https://doi.org/10.1038/s41550-018-0686-7,arXiv:1902.00998,https://arxiv.org/abs/1902.00998
4,galaxy and structure formation,2019-01-25,"M. Parthasarathy, G. Jasniewicz, F. Thévenin","M. Parthasarathy, G. Jasniewicz, F. Thévenin",The puzzling high velocity G5 supergiant star HD 179821: new insight from Gaia DR2 data,"Astrophysics and Space Science 364: 18, 25 Jan 2019",doi: 10.1007/s10509-019-3506-3,https://doi.org/10.1007/s10509-019-3506-3,arXiv:1901.08995,https://arxiv.org/abs/1901.08995
4,galaxy and structure formation,2019-01-21,"Alejandro Borlaff, Ignacio Trujillo, Javier Román, John E. Beckman, M. Carmen Eliche-Moral, Raúl Infante-Sáinz, Alejandro Lumbreras, Rodrigo Takuro Sato Martín de Almagro, Carlos Gómez-Guijarro, María Cebrián, Antonio Dorta, Nicolás Cardiel, Mohammad Akhlaghi, Cristina Martínez-Lombilla","A. Borlaff, I. Trujillo, J. Román, J.E. Beckman, M. Carmen Eliche-Moral, R. Infante-Sáinz, A. Lumbreras, R. Takuro Sato Martín de Almagro, C. Gómez-Guijarro, M. Cebrián, A. Dorta, N. Cardiel, M. Akhlaghi, C. Martínez-Lombilla",The missing light of the Hubble Ultra Deep Field,"Astronomy & Astrophysics 621, A133, 2019",doi: 10.1051/0004-6361/201834312,https://doi.org/10.1051/0004-6361/201834312,arXiv:1810.00002,https://arxiv.org/abs/1810.00002
4,galaxy and structure formation,2019-01-11,"Shany Danieli, Pieter van Dokkum, Charlie Conroy, Roberto Abraham, Aaron J. Romanowsky","S. Danieli, P. van Dokkum, C. Conroy, R. Abraham, A.J. Romanowsky",Still Missing Dark Matter: KCWI High-Resolution Stellar Kinematics of NGC1052-DF2,"Submitted to ApJL, 2019",arXiv:1901.03711,https://arxiv.org/abs/1901.03711,,
4,galaxy and structure formation,2019-01-10,"L. R. Bedin, M. Salaris, R. M. Rich, H. Richer, J. Anderson, D. Bettoni, D. Nardiello, A. P. Milone, A. F. Marino, M. Libralato, A. Bellini, A. Dieball, P. Bergeron, A. J. Burgasser, D. Apai","L.R. Bedin, M. Salaris, R.M. Rich, H. Richer, J. Anderson, D. Bettoni, D. Nardiello, A.P. Milone, A.F. Marino, M. Libralato, A. Bellini, A. Dieball, P. Bergeron, A.J. Burgasser, D. Apai",The HST Large Programme on NGC 6752. I. Serendipitous discovery of a dwarf Galaxy in background,"Monthly Notices of the Royal Astronomical Society: Letters 484, Issue 1, pp. L54–L58, 21 March 2019",doi: 10.1093/mnrasl/slz004,https://doi.org/10.1093/mnrasl/slz004,arXiv:1902.00271,https://arxiv.org/abs/1902.00271
4,galaxy and structure formation,2018-12-17,"Yoshiyuki Inoue, Akihiro Doi","Y. Inoue, A. Doi",Detection of Coronal Magnetic Activity in Nearby Active Supermassive Black Holes,"The Astrophysical Journal, Vol. 869, No. 2, p. 114, 2018",doi: 10.3847/1538-4357/aaeb95,https://doi.org/10.3847/1538-4357/aaeb95,arXiv:1810.10732,https://arxiv.org/abs/1810.10732
